word	pos_tok_MBOF	abs_tok_MBOF	pos_type_MBOF	abs_type_MBOF	es_pos_tok_MBPF	es_abs_tok_MBPF	es_pos_type_MBPF	es_abs_type_MBPF	
peripecia	5734.808802	30809.912523	2654.250000	15971.625000	5344.949076	26685.259848	2326.125000	14277.875000	
erupciones	3131.921741	35983.938061	1432.666667	17763.444444	3513.223176	39544.996837	1345.777778	17197.444444	
dilatación	4657.388430	33578.136218	2313.444444	15791.888889	4961.054582	38332.306863	2682.444444	17211.333333	
tonadilla	6180.099047	36792.284194	2939.750000	20493.875000	6332.837068	29065.284839	2300.714286	16126.857143	
fragor	4101.662647	24614.365313	2115.000000	16039.000000	4048.569543	23682.880000	2075.400000	16168.000000	
minucias	5422.484802	28764.280468	2400.142857	16444.714286	4794.468158	25740.723024	2158.428571	14529.428571	
epopeya	1032.927806	10927.925905	707.666667	4695.500000	1074.723819	10984.355553	755.666667	4862.833333	
tópico	1664.273791	18191.326352	1001.000000	10172.200000	2791.611493	25122.661156	1342.800000	12786.400000	
mimetismo	2784.636268	17730.909785	1675.750000	12872.625000	2661.935678	15399.018615	1581.875000	11024.000000	
desaliento	16193.942718	58355.184963	5611.111111	24458.111111	15956.495016	55897.716937	5348.333333	22597.777778	
tata	6486.156689	36890.307661	2239.000000	24340.666667	7648.828064	38916.731429	2457.333333	26603.333333	
alarde	4613.675839	62157.183099	2192.400000	30997.800000	4323.898202	39209.010585	2178.200000	25835.600000	
alborozo	4317.454975	19562.588916	1740.714286	11041.428571	4639.680405	20444.734822	1899.285714	10995.714286	
andanzas	3975.138124	31801.807724	2465.857143	26601.714286	3961.926128	31089.397738	2661.285714	28280.714286	
hastío	8615.945746	23573.425235	2044.800000	13884.200000	7327.816391	33027.093236	2253.000000	20770.250000	
propensión	5664.893987	30700.240939	2439.777778	13012.333333	6216.964359	36477.567160	2863.555556	15792.777778	
pesadumbre	4018.520075	29490.396834	3133.111111	18678.000000	4059.068066	27733.268508	3062.000000	17054.000000	
evocación	3126.077178	23232.017166	1186.500000	10105.625000	3617.573647	30637.574760	1547.750000	13716.500000	
estamento	8790.084934	53773.251349	2733.500000	26896.250000	10359.264005	55418.250606	3403.500000	27575.125000	
absolución	2377.589436	18153.202265	1251.111111	8631.111111	3342.567190	25256.653144	1725.000000	12217.444444	
vacilación	4133.553915	34301.151868	1874.444444	13999.555556	4297.444765	34679.312483	2238.777778	13812.000000	
regazo	5312.892711	16798.832823	4248.000000	12629.400000	6209.215662	13114.419324	4453.000000	9193.200000	
regenta	7661.373384	47529.810180	5592.833333	25185.166667	7591.532831	41773.477716	5680.833333	21674.666667	
tacha	4358.854408	25475.072674	1685.750000	14653.000000	2490.584875	18386.968429	995.333333	12946.333333	
destello	19808.394872	59936.854071	6898.571429	23686.000000	22073.200121	51767.329259	7014.833333	20608.166667	
maraña	9817.912515	30483.932246	3373.200000	26213.800000	10706.501847	31136.222277	3228.800000	27072.000000	
fulgor	2653.566043	14155.014520	1189.200000	7661.800000	1625.750529	12904.997943	1089.800000	6992.800000	
raciocinio	3622.121768	34098.308560	1657.555556	17478.333333	2516.899762	24077.444516	1086.222222	9472.666667	
barrido	8045.038352	30772.386028	3452.666667	27575.000000	4120.836595	14555.696167	1832.600000	8114.600000	
dividendos	4484.325809	49014.526723	3673.000000	25183.666667	4185.782120	32651.255793	3378.000000	20021.111111	
provocador	5240.381647	28178.469904	3408.666667	18819.777778	5354.033783	27056.380601	3146.888889	16958.666667	
pesquisas	4336.086207	32573.518958	3889.875000	18333.250000	5106.528682	33107.329609	4501.428571	21245.000000	
muestrario	9765.143739	44907.088985	3165.444444	26521.000000	5886.542426	41201.833670	3183.666667	24960.888889	
infinitud	3450.787276	15727.019032	2317.875000	10635.000000	2383.605952	12545.403361	1618.375000	8228.500000	
quehacer	12769.452694	32395.041757	1368.428571	11584.000000	9389.169371	29957.556117	1774.600000	13861.600000	
salinidad	4890.193143	29294.068489	3261.375000	18789.750000	4734.285400	27641.282649	3119.500000	17739.250000	
entresijos	9055.137755	50185.265049	3987.444444	26502.444444	8701.613737	48561.320601	3371.333333	24552.444444	
avatares	3595.997244	40845.683326	3082.000000	30200.857143	4102.892402	42680.339454	3712.857143	33016.428571	
ánodo	1478.236109	21930.714594	442.250000	16519.500000	2621.791616	31027.213800	1087.500000	21295.500000	
garbo	6250.364050	18343.406066	2337.000000	21291.000000	6573.610071	17430.081492	2371.250000	19701.250000	
simulador	3822.835533	33922.672321	2706.250000	19933.500000	3625.837397	31815.218516	2418.500000	16993.000000	
picardía	2687.589422	21270.816903	2427.571429	19004.428571	2635.180107	20284.711545	2668.714286	19236.142857	
conjetura	9667.148958	25549.756795	4062.500000	15806.750000	6343.241011	19709.660819	3239.500000	13110.875000	
fajo	2089.570134	4617.232134	753.000000	2492.333333	2187.587320	5285.223248	816.333333	2890.000000	
cuitas	5328.420551	28710.318512	2392.800000	19424.200000	4384.207689	27778.638290	2144.000000	18329.800000	
zaguán	1307.035289	5569.292762	916.400000	7424.400000	1643.720914	14734.076038	1450.400000	14136.200000	
anticipo	5185.514346	35985.791996	2483.857143	18946.428571	4130.510782	27993.256407	1995.714286	18166.285714	
lindezas	4461.938256	37946.908600	2318.000000	21634.428571	3934.460133	37181.644948	2299.714286	21153.428571	
visos	6061.671941	31982.159160	2267.250000	20720.000000	5523.098067	30214.394376	2433.250000	19447.500000	
repudio	4979.624085	20949.803125	4165.333333	13041.500000	5512.621599	14593.089120	4035.833333	7712.166667	
ensoñación	6657.402181	29374.180563	2038.555556	11531.777778	6880.753653	35870.123360	1923.888889	14013.333333	
desidia	22060.950821	52931.533252	6989.833333	20605.333333	22040.288946	47988.593067	6543.833333	17845.833333	
añadidura	1966.189339	22287.112055	1250.000000	14738.375000	1810.390425	19730.190959	1351.375000	13981.000000	
falacia	5689.322515	39093.395851	3071.000000	17784.666667	4963.356772	35375.458808	2696.333333	15068.833333	
letargo	4613.848671	26119.488682	2390.500000	22650.166667	5242.152480	25300.926901	2619.666667	22522.666667	
inventiva	4830.885149	32199.771246	3100.625000	16647.125000	3701.866748	30621.711789	2618.625000	16550.125000	
respingo	5956.784968	30641.965100	5901.142857	19150.714286	4991.237102	20671.978042	5023.857143	12684.714286	
descaro	22404.493922	59094.496434	8617.000000	33597.833333	21890.948564	56935.962487	8293.500000	32492.666667	
dorso	7084.905694	29428.525921	1914.750000	19754.000000	6930.566891	21429.155264	1739.250000	14721.000000	
soltura	4650.262450	19999.404684	2820.000000	14286.000000	4900.139069	19795.823023	2907.000000	14683.166667	
apoteosis	2843.304170	27558.586392	1894.000000	15893.750000	2898.438225	27436.971418	1981.500000	15913.750000	
atuendo	4029.596308	42346.386979	2612.500000	22984.666667	2871.557144	29622.630553	2285.000000	17987.000000	
presagio	5968.925453	32644.547426	2453.285714	19157.000000	6812.699768	33752.116879	2583.857143	17065.571429	
frenesí	5270.399579	47164.676808	2007.500000	24762.333333	5859.983776	48630.646406	2213.166667	23491.500000	
desamparo	16222.501090	48828.622771	6714.375000	27034.500000	16142.184066	47338.070336	6631.625000	26299.625000	
hormigueo	4097.488909	20304.965623	1599.625000	8098.250000	1731.399241	13720.985136	907.000000	7543.666667	
substrato	4811.735075	25215.287031	2266.625000	14352.000000	4762.914510	25746.837383	2430.125000	15201.625000	
impureza	2762.033567	16659.388691	2012.285714	11921.142857	3100.786481	14973.893561	2514.714286	10876.000000	
beatitud	2401.305724	12080.036356	1380.571429	9123.571429	3067.129045	11928.707993	1633.857143	9096.714286	
calentura	5634.523612	44222.416638	3715.125000	24899.875000	5614.943397	43279.973076	3846.625000	24806.000000	
yerma	6940.389855	25977.994456	2617.000000	13976.000000	6446.002857	27042.235710	2310.750000	14170.000000	
resuello	5749.773099	48201.377940	5710.428571	20922.571429	5549.036918	24948.072341	5329.166667	12551.333333	
trajín	3897.339014	18736.940022	2143.200000	12752.200000	5107.211013	24988.943734	2945.800000	18089.000000	
placidez	3187.445162	45528.905272	1519.857143	15834.285714	2594.425598	24665.521013	1389.428571	11108.142857	
colación	10593.056358	39123.151023	3937.142857	16678.571429	11227.359649	47059.438912	4266.571429	19697.857143	
índole	2329.095893	22411.120134	1257.400000	21674.800000	3071.568174	20739.629276	2287.200000	21089.600000	
salvación	4274.631498	25307.476366	1968.250000	10746.125000	5009.920416	33389.527785	2422.500000	15565.875000	
vigor	4939.864615	19051.087031	2077.000000	10078.500000	4944.779777	15790.935278	1997.500000	7958.500000	
modalidad	4890.295931	28539.558352	2572.250000	18560.500000	4703.556978	27231.504345	2472.250000	17771.750000	
místico	4533.982351	26186.405141	2357.333333	14099.000000	5863.979652	30443.572031	3047.666667	17681.833333	
diputación	3893.610130	24172.812826	1817.111111	10667.555556	4270.752260	29034.493201	2173.444444	12741.000000	
constancia	11399.245486	39732.610195	4590.555556	22303.666667	10959.492148	40909.900154	4595.333333	22691.777778	
cuantía	4798.511611	24863.308409	1588.500000	14996.333333	5165.584087	27624.434297	1745.833333	18599.833333	
suposición	5470.588923	31135.014007	1791.777778	13295.222222	5399.938967	36131.460509	2083.777778	15851.444444	
sosiego	7415.494526	27779.281555	1726.833333	14465.833333	7110.412093	25104.345128	1529.500000	13813.500000	
regocijo	5170.447950	21320.640404	3494.714286	11388.428571	4487.839518	9720.243291	3114.857143	6193.285714	
imposición	4347.481745	31470.108825	1822.222222	14170.000000	4718.737483	36990.211143	2342.444444	17043.111111	
magnitud	2515.273919	11115.601165	1495.571429	7087.714286	3151.857198	11551.879761	1503.285714	6874.714286	
rechazo	5568.426335	18567.091674	4117.666667	12567.500000	4690.128930	10369.000429	3877.200000	7203.800000	
burocracia	4183.106730	26274.925864	1892.000000	15045.888889	3868.220873	23207.053947	1887.444444	13401.000000	
inflación	4866.742441	30592.976848	2437.875000	12730.875000	4356.666512	35114.564335	2021.625000	13757.125000	
cosmos	15171.927388	45322.319178	4231.800000	29638.800000	10466.880725	30999.014372	3879.600000	19995.800000	
acto	4244.063677	24719.403722	2178.000000	10136.000000	4795.038769	19803.781264	1978.333333	8568.000000	
poniente	10964.201065	48531.206610	3635.000000	21980.142857	10514.598182	49900.847964	3249.428571	21353.000000	
esmero	11840.885650	45989.071815	3692.600000	24869.000000	5709.602684	26755.267253	2479.400000	15161.000000	
contienda	13002.983283	47587.670127	5749.625000	25653.625000	11798.953756	44105.114734	4663.125000	21590.625000	
exclusión	2534.992948	12526.007789	1088.125000	4178.875000	6980.752858	31682.379519	2445.875000	14495.750000	
pronóstico	3927.841730	29860.995459	2138.111111	16428.444444	4942.957526	42118.999444	2456.111111	22472.666667	
inserción	6842.008714	31879.002732	3339.750000	15169.250000	6715.831940	38561.764019	3257.750000	17972.000000	
despojos	19041.944405	48253.396985	6251.428571	20211.857143	18834.513417	47572.040422	5978.571429	19873.142857	
opresión	3507.472339	36374.386407	1339.428571	17376.857143	4406.028273	42297.249135	1803.000000	19515.142857	
cuenca	13915.936979	46391.066356	1810.200000	19591.600000	4997.728333	15025.450707	1056.600000	8661.400000	
trazado	5906.676721	31675.629043	3189.166667	24813.833333	5748.192807	32689.311767	3147.666667	23459.166667	
trance	6617.586778	34879.468143	3177.200000	24732.400000	6877.024471	34369.773960	3119.800000	26868.600000	
morfología	3239.856784	15595.252399	1522.777778	10821.222222	3140.205998	15716.478645	1441.222222	10856.666667	
génesis	2664.584045	27823.831179	1175.666667	15000.166667	4809.126589	46747.783079	2126.666667	22463.000000	
nobleza	4250.322170	14207.120481	1189.666667	9129.166667	4308.947161	15951.950045	1355.000000	10526.166667	
dióxido	4131.775190	20280.795655	1688.333333	11376.000000	2258.233022	20158.843496	1094.000000	8379.571429	
aporte	2836.440641	29398.407446	2034.600000	14880.800000	2738.476086	29636.178495	2102.000000	14829.600000	
cúmulo	1134.704148	10735.995478	787.800000	5950.800000	1912.101594	12849.957160	1247.200000	7769.400000	
clave	2389.936935	24796.485550	1247.750000	11314.750000	2748.407811	27933.577969	1540.750000	15258.000000	
andadura	2956.099893	32451.373306	2034.714286	25730.285714	2677.350434	28254.208736	2170.000000	25126.571429	
incursión	4190.484090	19914.843890	2432.250000	9344.750000	3175.380189	20442.276412	1746.500000	9555.875000	
variante	6904.102583	40455.904032	3148.142857	29042.571429	7126.283795	37578.179071	3361.571429	28203.571429	
detención	18105.522961	50590.041943	4450.000000	18271.125000	18841.125846	56282.578509	4759.500000	20358.875000	
cacería	7981.515785	27734.842213	3453.500000	17338.666667	7725.073145	29368.397512	3768.000000	18866.166667	
partícula	6235.686406	25838.534718	2153.250000	17219.000000	7380.576913	29445.486793	2720.500000	20383.125000	
doctrina	3403.766300	27811.544276	1964.142857	18397.000000	3002.816212	20284.541478	1988.285714	14946.142857	
trecho	4146.221510	25087.309280	2443.000000	16838.800000	4300.745690	18214.066133	2446.500000	11097.750000	
componente	10132.956486	44733.450105	3902.444444	21062.111111	10595.959639	47545.601142	4207.666667	21397.888889	
señorío	6535.917503	16481.300369	1423.166667	10003.500000	7167.410346	19046.475455	1809.833333	11921.000000	
medición	5714.755866	27158.438142	1940.428571	11744.857143	5623.382262	31789.320263	2053.571429	14059.142857	
pudor	5365.350929	26950.142254	1730.250000	17572.750000	4823.746424	22170.055880	1612.500000	12199.250000	
caudal	5063.909613	24511.601901	2435.600000	15252.400000	4864.412290	23393.355964	2389.000000	14953.000000	
perjuicio	5443.043435	26090.736136	2393.125000	12596.500000	5346.876644	24424.548358	2124.875000	10765.500000	
reclamo	6092.476167	33927.949356	4842.333333	21447.166667	5179.112277	25497.890881	4624.666667	16210.000000	
júbilo	1730.096431	11849.048559	1008.000000	7065.000000	2600.369595	12482.822397	1564.400000	7555.800000	
santidad	7547.900337	36613.623191	3925.714286	23512.142857	7051.530537	35781.833898	3757.428571	24868.571429	
vestigios	5938.563010	36261.167908	4693.500000	20369.500000	6055.623509	38158.701976	4428.750000	19790.250000	
secuela	7592.616050	45592.032997	2862.833333	17190.666667	6188.197457	35827.512733	2115.166667	13657.500000	
hito	3256.243346	18152.291117	1404.333333	8740.333333	299.110479	27028.396161	276.500000	12234.500000	
despliegue	14084.831829	39719.588245	4728.555556	14646.555556	15482.793034	33959.608653	4839.000000	13223.250000	
temple	3964.917517	22677.975556	2051.800000	15212.000000	4127.942449	22737.411614	2100.600000	15677.600000	
imperio	6841.303631	28233.055596	3377.833333	15379.000000	7519.712093	29280.149844	3430.333333	13736.500000	
modernismo	4404.404695	31756.835145	2188.000000	15239.111111	4109.876240	17644.836019	1976.222222	11151.666667	
convenio	12768.280970	38417.826835	4873.000000	18403.571429	11511.666555	35058.982945	4229.000000	14590.142857	
balance	4717.671524	37552.536283	3151.333333	22697.833333	5379.999916	35161.543343	3400.666667	20907.000000	
infante	5636.188016	33197.550475	3672.166667	20657.166667	4670.709356	30838.368772	3026.333333	20537.666667	
aura	7360.868642	25530.928809	2378.000000	18265.333333	7693.995616	25242.351952	2254.666667	19468.000000	
resplandor	5757.647620	45956.639810	6331.111111	29657.444444	5086.927205	38567.785497	5924.777778	25979.666667	
ingenio	5628.736098	31691.583073	3349.000000	15653.666667	4017.699044	28645.205369	1932.333333	11332.000000	
despegue	17879.197515	46536.022343	5982.714286	16086.000000	20417.531040	42273.519259	6372.333333	16291.500000	
emblema	2341.543476	17151.658359	1642.333333	12155.500000	2512.080648	18067.768804	1890.666667	12907.333333	
súbditos	2536.270884	21369.544238	1446.142857	12550.571429	4602.099767	22404.233214	2166.428571	12526.142857	
velada	7508.080178	45621.292481	2637.200000	21837.400000	7909.180268	42549.441591	2904.000000	19991.200000	
combustión	8278.814926	23584.798842	2883.000000	10437.888889	8842.108232	29941.510357	3313.777778	13086.000000	
monopolio	5907.287644	24343.871585	2351.875000	14412.125000	5827.436501	27953.025635	1875.250000	13109.250000	
loto	10360.355429	27292.914338	1323.333333	12296.333333	10788.861265	27258.959601	1405.666667	12478.666667	
trasvase	3941.720066	35512.447240	2790.571429	25386.857143	4030.173137	29457.892731	2923.285714	22406.428571	
soberanía	6591.334130	28369.488738	3289.750000	18254.375000	7048.063812	31055.280316	4010.125000	21670.375000	
tramo	5529.287632	31899.360748	3139.750000	24229.250000	5643.572512	32058.643033	3180.000000	25516.250000	
énfasis	2323.665060	19085.157085	1249.000000	13278.833333	2826.979868	21730.987433	2084.166667	15310.500000	
fijación	3872.794995	20280.223938	1179.714286	7666.857143	4271.303095	28806.668390	1568.571429	11257.000000	
chisme	1387.588282	12823.562219	1131.400000	9672.200000	1829.295659	8923.445797	822.750000	5833.750000	
repertorio	6518.360366	33786.108942	4085.555556	18557.555556	6608.936636	30007.173852	4101.444444	14588.666667	
escrúpulos	4395.483213	26204.321580	2333.111111	15721.555556	4928.816444	26787.415593	2734.222222	16153.555556	
utensilios	2669.275211	36269.185632	1975.111111	20012.555556	2882.035527	36572.299217	1708.444444	18028.333333	
ente	20389.132368	70934.752499	6268.666667	32565.000000	19571.892602	71252.325789	4814.666667	32126.000000	
lección	3991.182725	25658.382256	1578.333333	10807.166667	4166.493992	33928.181320	1858.000000	14341.500000	
revuelo	4448.036180	36490.023660	3892.000000	14526.333333	4719.070207	24385.771303	3935.000000	10010.666667	
eternidad	3545.814859	31232.582442	1886.875000	18612.625000	3477.234182	30380.782550	1827.875000	18311.125000	
desastre	19178.487690	59835.540968	6506.857143	30012.000000	19255.902018	56957.377584	6396.571429	27520.714286	
éxtasis	3778.749887	25976.355828	1470.166667	16808.500000	12861.037511	50294.218696	3650.166667	28974.000000	
cortesía	11865.519693	39252.778542	4341.714286	20638.142857	12148.540847	43597.540361	4392.571429	22118.142857	
casco	9439.856506	38008.321034	3868.250000	25814.000000	10350.044900	39952.754433	3955.250000	26895.250000	
estima	10736.023008	40649.971317	3041.000000	22152.600000	12390.561048	43461.236955	3853.000000	23143.000000	
habilidad	5445.890908	21857.791809	2373.375000	15044.500000	4320.935229	22348.003222	2566.571429	16444.000000	
arrebato	2457.129845	27603.416560	1908.285714	23472.285714	2213.938978	17139.961510	1569.333333	12723.166667	
frescura	3570.063503	35844.334508	2081.428571	23165.142857	3611.041334	32532.691418	2314.857143	21310.857143	
estupidez	7029.724919	38513.979602	1780.125000	15149.250000	7816.806953	26792.493242	2245.625000	13520.375000	
armonía	2907.856741	25856.667383	1602.500000	22625.500000	3756.734709	30947.119728	1671.833333	23624.833333	
carroña	7434.070400	23874.480204	3220.666667	21589.166667	3602.638307	9305.960146	1904.200000	7752.600000	
honra	9526.283179	30354.753820	3851.500000	19636.500000	676.863446	25681.087837	692.333333	12143.000000	
gentío	5151.262478	34236.985920	2130.000000	14844.600000	6508.256766	39722.725837	2932.200000	18384.800000	
confesión	11325.256185	35563.311187	3880.875000	15972.875000	10736.805397	39567.543332	3833.375000	17636.250000	
apogeo	1446.533755	9616.912738	1172.200000	4566.200000	1378.582262	10661.534116	1306.800000	5316.600000	
radiación	4104.928683	34947.610417	1444.125000	18500.125000	4319.380070	32930.596382	1562.875000	15230.125000	
vistazo	5699.610981	21869.841849	2817.166667	13399.000000	5261.432944	24578.299737	2994.833333	14339.500000	
mentira	8154.734057	48072.876164	4083.000000	26584.500000	8049.177195	47429.744250	4211.333333	26830.666667	
extravío	2605.746555	14628.800658	1895.571429	9973.714286	9444.318893	37850.418459	3487.857143	23478.428571	
limitación	3823.459123	26886.994593	1880.111111	13016.000000	4555.943389	33804.164002	2313.555556	15965.000000	
milagro	3639.099674	26860.774763	1729.333333	14465.333333	3365.495031	23848.218462	1632.166667	12187.666667	
estética	8242.269857	32824.984543	2407.000000	18972.571429	11213.900274	40921.348242	3796.000000	24175.571429	
audacia	4476.682484	24777.297568	1727.166667	12463.833333	4091.410431	21166.865211	1471.666667	10082.333333	
indicador	5133.658202	34977.054919	3787.625000	26112.750000	3598.430773	30227.937703	2810.250000	21748.250000	
rescate	7288.935313	42864.013091	7248.500000	27511.166667	7164.288628	38019.366871	6991.166667	24567.500000	
veneno	6868.775585	54094.059911	2931.000000	23238.800000	7080.600186	53271.593510	3203.200000	22072.600000	
borde	7262.333779	44474.099834	2380.000000	14934.000000	7038.713303	17374.642123	2138.250000	8917.000000	
olvido	3164.084627	19985.969369	1112.000000	15056.200000	3176.067499	17286.201322	1338.400000	11140.200000	
peña	4274.782320	8798.098717	1689.000000	4937.333333	4333.084027	8879.263615	1737.666667	5138.333333	
